;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;SolarEnergy;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0030705928802490234;67.56107258796692;5.237460524114921;13.224221229553224;[0.07756230980157852, 0.06675750017166138, 0.06462371349334717, 0.06331902742385864, 0.06308571994304657];[0.09568747133016586, 0.09323403984308243, 0.08772468566894531, 0.09767833352088928, 0.08746299147605896]
1;SolarEnergy;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.002719402313232422;73.20201134681702;5.110958324255214;12.736740112304688;[0.07722106575965881, 0.06675560027360916, 0.06484539806842804, 0.06345859915018082, 0.062321629375219345];[0.08559992909431458, 0.0868711769580841, 0.08720165491104126, 0.09278210252523422, 0.08453628420829773]
2;SolarEnergy;lstm;2;{'layers': 1, 'units': 64, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0028066635131835938;65.88127708435059;4.882582167115011;11.969118118286133;[0.0756869688630104, 0.06545381993055344, 0.06362893432378769, 0.06262319535017014, 0.0619114451110363];[0.094174824655056, 0.10338384658098221, 0.09004133939743042, 0.08716828376054764, 0.08232145011425018]
