;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;SolarEnergy;trDPT;0;{'N': 2, 'd_model': 128, 'h': 4};6;1.25;7;32;5;10000;Adam;0.01;minmax;6.165747706922131e-09;587.404759645462;6.122257751644535;15.219305038452148;0.08071069982693564;0.09660275727510452
1;SolarEnergy;trDPT;0;{'N': 2, 'd_model': 128, 'h': 4};6;1.25;7;32;5;10000;Adam;0.001;minmax;4.33396411405208e-09;592.4659678936005;2.0584049949362804;3.7914209365844727;0.02821871569095992;0.06809944733977318
2;SolarEnergy;lstm;2;{'layers': 1, 'units': 64, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.003098487854003907;73.4361011981964;5.983352254122669;14.894736289978027;[0.07487447559833527, 0.06562546640634537, 0.06425943970680237, 0.06325887143611908, 0.06241050362586975];[0.09775715321302414, 0.0936090275645256, 0.08800491690635681, 0.09184850752353668, 0.09548930823802948]
3;SolarEnergy;lstm;3;{'layers': 1, 'units': 64, 'return_sequence': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0040283203125;68.48892116546631;4.969019979597153;12.359777450561525;[0.07549603283405304, 0.06548569351434708, 0.06351370364427567, 0.06198074296116829, 0.06139856576919556];[0.09413141757249832, 0.08947859704494476, 0.0812106728553772, 0.08145737648010254, 0.08508207648992538]
4;SolarEnergy;lstm;4;{'layers': 1, 'units': 128, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.002846240997314453;74.72209239006042;5.882667461999812;14.995194435119627;[0.07324619591236115, 0.06438662111759186, 0.0630514994263649, 0.06254717707633972, 0.0619487427175045];[0.08957403898239136, 0.08736371994018555, 0.09264273196458817, 0.08985548466444016, 0.08736398071050644]
5;SolarEnergy;lstm;5;{'layers': 1, 'units': 128, 'return_sequence': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.002700328826904297;79.73141646385194;5.294349034946272;13.336662292480467;[0.07386206835508347, 0.06385568529367447, 0.06237904727458954, 0.06143229827284813, 0.06085371598601341];[0.10479306429624557, 0.0871940553188324, 0.08961563557386398, 0.08314445614814758, 0.08305786550045013]
6;SolarEnergy;lstm;6;{'layers': 2, 'units': 32, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.007228851318359375;135.46940207481384;4.54792338457399;11.067771911621094;[0.07669730484485626, 0.06494580209255219, 0.062279053032398224, 0.06094865873456001, 0.06024036929011345];[0.10019276291131973, 0.09818287938833237, 0.08407087624073029, 0.07672201842069626, 0.08010312169790268]
7;SolarEnergy;lstm;7;{'layers': 2, 'units': 32, 'return_sequence': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.004357576370239258;137.34168791770935;4.312401243925112;10.169578552246094;[0.07487043738365173, 0.06365945190191269, 0.0608423687517643, 0.060060981661081314, 0.05926409736275673];[0.10596839338541031, 0.08182164281606674, 0.08251605182886124, 0.08995194733142853, 0.07640048861503601]
8;SolarEnergy;lstm;8;{'layers': 2, 'units': 64, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.004410266876220703;123.13929533958435;4.687723895593732;11.31562614440918;[0.07326994836330414, 0.06314001232385635, 0.061137791723012924, 0.060351502150297165, 0.0600748173892498];[0.101209357380867, 0.09928497672080994, 0.08631905168294907, 0.08959019929170609, 0.0784965306520462]
9;SolarEnergy;lstm;9;{'layers': 2, 'units': 64, 'return_sequence': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.010825872421264648;130.3406751155853;4.922587255613456;12.14829921722412;[0.07194588333368301, 0.06209266185760498, 0.06010672450065613, 0.05948387458920479, 0.05882076546549797];[0.08425644040107727, 0.08174891024827957, 0.07726307958364487, 0.08325403928756714, 0.079424187541008]
10;SolarEnergy;lstm;10;{'layers': 2, 'units': 128, 'return_sequence': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.005433320999145508;160.25577807426453;4.616015487487127;11.270804405212402;[0.07112288475036621, 0.06199181079864502, 0.060557544231414795, 0.05989082157611847, 0.05958578363060951];[0.08520099520683289, 0.07953546196222305, 0.08360838145017624, 0.08022771030664444, 0.07829948514699936]
11;SolarEnergy;tcn;11;{'nb_stacks': 1, 'nb_filters': 64, 'dilations': [1, 2, 4, 8], 'kernel_size': 6, 'return_sequences': False};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.0249934196472168;182.3921239376068;3.4582922074284435;7.996739864349365;[0.0650377944111824, 0.060338541865348816, 0.05946942791342735, 0.05890880152583122, 0.05854581296443939];[0.07042908668518066, 0.07887314260005951, 0.07220803201198578, 0.07477628439664841, 0.06971543282270432]
12;SolarEnergy;tcn;12;{'nb_stacks': 1, 'nb_filters': 64, 'dilations': [1, 2, 4, 8, 16], 'kernel_size': 3, 'return_sequences': True};6;1.25;7;32;5;10000;Adam;0.001;minmax;0.03584933280944824;211.82479000091553;3.2660209649089262;7.581524848937988;[0.06578340381383896, 0.06029481068253517, 0.05904274433851242, 0.058619897812604904, 0.058207739144563675];[0.08183156698942184, 0.0731414258480072, 0.0700954869389534, 0.07597281783819199, 0.06905746459960938]
