Model,Dataset,Best,Mean,Worst
Tr,CIF2016o6,16.157171780809282,75.90539452008045,274.00111815209766
Tr,Traffic-perms-bay,1.4303847003751997,1.8242036135468571,3.385080495311955
Tr,SolarEnergy,115.32512153556542,282.8323742282061,811.6219711018307
Tr,Traffic-metr-la,3.4183000043867393,3.8378044106662075,6.1413940042455675
Tr,M4,13.587722560587725,15.662136863400711,19.233245587038194
Tr,ExchangeRate,0.33572549001910157,1.2087675988785807,3.5112851878785483
Tr,M3,12.490750830758733,18.084325827778333,32.386193469534874
Tr,WikiWebTraffic,46.11097187647639,49.06155317803749,65.61181379181743
Tr,Tourism,18.680354801965652,22.013729778058796,35.4673053011703
Tr,NN5,18.63704631413262,21.81197328523919,36.22561762949428
Tr,Traffic,33.54128654179886,47.01105426583194,164.66271885458855
Tr,CIF2016o12,11.20785520608093,17.298062343170088,27.774434350760767
