;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;M4;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.5265585372762307e-07;1122.0592851638794;0.1852825028011664;3.91228461265564;0.04415458598184056;0.13989378992716472
1;M4;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;2.1632171803079924e-07;1094.484186410904;0.15193932001868185;3.0569097995758057;0.04396276395335505;0.12761976966261865
2;M4;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;4.619905333257614e-07;1103.9068040847776;0.1650449313045418;3.373121738433838;0.041324964964414033;0.13182737673819064
3;M4;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.0201899155463656e-06;1071.2226581573486;0.14624392408501555;3.2256417274475098;0.039841100532223186;0.1273233723640442
4;M4;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.2918225208879023e-06;1090.9410650730133;0.17429990245892246;3.65117621421814;0.04129768788862701;0.1374317983140548
5;M4;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.3414142440280908e-06;1081.790313243866;0.15118030256528006;3.3240714073181152;0.04027435645557522;0.12617635738352934
6;M4;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.3533904310343194e-06;1425.1681580543518;0.16373742089585566;4.121403694152832;0.043652355802793384;0.1417608425517877
7;M4;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.38162936967783e-06;1431.1056802272794;0.14332240680724975;2.9472320079803467;0.04319993462328396;0.12375293465455373
8;M4;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.4191852620231522e-06;1428.4716985225675;0.14901363320188424;3.5190703868865967;0.040720280936411536;0.1281909375488758
9;M4;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.4222020218802228e-06;1431.062782049179;0.14654650916825607;3.1520228385925293;0.03968973786659583;0.1233230123569568
10;M4;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.8442338222070743e-06;1448.659430027008;0.17101192572477408;4.078729152679443;0.041338896365047284;0.14009735098977882
11;M4;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.956593643163499e-06;1444.4044404029846;0.17132221455569527;3.7423207759857178;0.03985707758425187;0.13725537413358688
12;M4;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.8736397508268688e-06;1781.0072276592255;0.16198798999569133;3.2670340538024902;0.043170612593212004;0.1299574336161216
13;M4;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.7710439738601262e-06;1770.304606437683;0.16491553377112986;4.4649314880371085;0.04286728442595292;0.14721219787498316
14;M4;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.867848868432312e-06;1827.5371887683868;0.1607025238966447;3.2379076480865483;0.03945751446512488;0.1318487721880277
15;M4;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;1.8569317859021104e-06;1838.4386451244354;0.1376805737124499;2.9022743701934814;0.0389568247633736;0.11986045537392298
16;M4;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};18;1.25;22;32;5;10000;Noam;Noam;minmax;2.470469257931699e-06;1831.9989097118369;0.15193526411963051;3.137824535369873;0.04040118326119234;0.1253746332277854
17;M4;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};18;1.25;22;32;5;10000;Noam;Noam;minmax;2.53802916966414e-06;1824.4105105400085;0.17258922128378235;3.746389150619507;0.03982878072162604;0.13693044025699294
18;M4;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.0169662654219898e-06;907.795833349228;0.14237082234212015;2.947173357009888;0.04323332999347725;0.12521922900279364
19;M4;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};18;1.25;22;64;5;10000;Noam;Noam;minmax;9.837962226240827e-07;909.8110449314116;0.17108435658142346;3.598595142364502;0.0433984957379755;0.13232066534956294
20;M4;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};18;1.25;22;64;5;10000;Noam;Noam;minmax;9.884487182871658e-07;916.3854646682739;0.16199651733458878;3.635014533996582;0.039521034498253615;0.13412056882182755
21;M4;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.0358105089294614e-06;919.8168051242827;0.14464638550293624;2.9805476665496826;0.038573509953969264;0.12152794605493546
22;M4;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.285432539188495e-06;927.7535173892976;0.16489635317457432;3.659526824951172;0.040704881785941886;0.13568037047982215
23;M4;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.3767132254967229e-06;929.6465835571288;0.15880196001430466;3.697544097900391;0.03889295259629778;0.13194994607567787
24;M4;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.397160427340641e-06;1196.4253678321836;0.1523261961271333;3.171772003173828;0.042596835508793625;0.1280062457025051
25;M4;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};18;1.25;22;64;5;10000;Noam;Noam;minmax;1.4185140522852566e-06;1183.4827167987826;0.16604474324661295;3.58596420288086;0.04270433921298182;0.13360263909896214
