;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;wape;mase;LOSS;VAL_LOSS
0;CIF2016o12;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;6.420348430307139e-06;0.0003868253119722535;0.19184835644859866;2.066149950027466;0.13195151898708907;0.2121571749448776
1;CIF2016o12;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;6.312582554425015e-06;0.00039601442400780183;0.1824817323357973;1.7574636936187744;0.13040606841219188;0.19622114300727844
2;CIF2016o12;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;6.550040451885258e-06;0.0003949812617621791;0.1120785520608093;1.3756829500198364;0.12439255592780135;0.16880589723587036
3;CIF2016o12;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;6.5750181745595625e-06;0.00039744510501446556;0.13786647013098596;1.3641304969787598;0.12517545023236912;0.1700812205672264
4;CIF2016o12;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;6.711378456942135e-06;0.000402401894521702;0.1404825690202332;2.59175992012024;0.1228223988137237;0.2147977277636528
5;CIF2016o12;trDPT;5;{'N': 2, 'd_model': 256, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;6.735960604822955e-06;0.00039536180471351116;0.12681679352396538;1.6914196014404297;0.12691201055610574;0.1916017010807991
6;CIF2016o12;trDPT;6;{'N': 3, 'd_model': 16, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;8.997857273967098e-06;0.0005203300868484414;0.2221744388820205;2.2773139476776123;0.131076861944313;0.2252289950847625
7;CIF2016o12;trDPT;7;{'N': 3, 'd_model': 16, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;9.040466330293852e-06;0.0005248368478663358;0.16733234506057998;2.4474668502807617;0.13180137002803016;0.20877914130687714
8;CIF2016o12;trDPT;8;{'N': 3, 'd_model': 128, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;9.36562881053808e-06;0.0005170818639892231;0.16553610028003007;1.5975579023361206;0.12421824116109295;0.18842996656894684
9;CIF2016o12;trDPT;9;{'N': 3, 'd_model': 128, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;9.145971778784636e-06;0.0005244438951686254;0.14042530045786944;1.7436424493789673;0.12419063144485755;0.18494721502065656
10;CIF2016o12;trDPT;10;{'N': 3, 'd_model': 256, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;9.556860967845423e-06;0.0005355182262528251;0.12246978772170647;1.780500411987305;0.12387213620799364;0.18129407614469528
11;CIF2016o12;trDPT;11;{'N': 3, 'd_model': 256, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;9.573757662595687e-06;0.0005261666120921133;0.1248971285549788;1.5356308221817017;0.12461810413691582;0.16863735020160675
12;CIF2016o12;trDPT;12;{'N': 4, 'd_model': 16, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;1.1680589012693925e-05;0.0006520975989508782;0.15891001033151242;2.4619619846343994;0.13286740996056434;0.20537974685430527
13;CIF2016o12;trDPT;13;{'N': 4, 'd_model': 16, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;1.1734500205977375e-05;0.0006373837876302933;0.17731262519085475;2.300119161605835;0.130656976149314;0.20528041571378708
14;CIF2016o12;trDPT;14;{'N': 4, 'd_model': 128, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;1.201112000799258e-05;0.0006514833165051446;0.21934504273508787;2.7049286365509047;0.12469626771700047;0.2301361411809921
15;CIF2016o12;trDPT;15;{'N': 4, 'd_model': 128, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;1.2152396719951315e-05;0.0006481526784632381;0.1449551502437335;2.266574144363404;0.12372407896180795;0.2036942765116692
16;CIF2016o12;trDPT;16;{'N': 4, 'd_model': 256, 'h': 4};12;1.25;15;32;5;;Noam;Noam;minmax;1.230152841709496e-05;0.0006463039653169569;0.15198126436876516;1.4742655754089355;0.12465747799065832;0.17975495755672455
17;CIF2016o12;trDPT;17;{'N': 4, 'd_model': 256, 'h': 8};12;1.25;15;32;5;;Noam;Noam;minmax;1.2397370538487766e-05;0.0006708227082094497;0.1695591414930141;1.6826263666152954;0.12726074934118622;0.1934732794761657
18;CIF2016o12;trDPT;0;{'N': 2, 'd_model': 16, 'h': 4};12;1.25;15;64;5;;Noam;Noam;minmax;6.696346614789727e-06;0.00020207059018898416;0.19274400862995225;2.0918505191802983;0.13995358446669395;0.2133689969778061
19;CIF2016o12;trDPT;1;{'N': 2, 'd_model': 16, 'h': 8};12;1.25;15;64;5;;Noam;Noam;minmax;6.411193699372212e-06;0.0002005681971233301;0.2027942415687128;2.359858512878418;0.14099303606634184;0.2274667024612427
20;CIF2016o12;trDPT;2;{'N': 2, 'd_model': 128, 'h': 4};12;1.25;15;64;5;;Noam;Noam;minmax;6.54116827437425e-06;0.00020252032482276515;0.16843960253595894;1.9640284776687624;0.13156269626183947;0.19633294641971588
21;CIF2016o12;trDPT;3;{'N': 2, 'd_model': 128, 'h': 8};12;1.25;15;64;5;;Noam;Noam;minmax;6.608585521320959e-06;0.00019347470471801903;0.18954753332156565;1.8626309633255005;0.13000386619394774;0.19963359832763672
22;CIF2016o12;trDPT;4;{'N': 2, 'd_model': 256, 'h': 4};12;1.25;15;64;5;;Noam;Noam;minmax;6.670577742528452e-06;0.00019262100910513169;0.17740241901904086;1.872886657714844;0.12838521006169046;0.1934811770915985
